host_id,id,neighbourhood_cleansed,market,latitude,longitude,price,room_type,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location
337655,7769055,Noord-Oost,Amsterdam,52.37934389044851,4.992835191409888,80.00,Entire home/apt,10,10,10,10,9
1122647,5121714,Noord-Oost,Amsterdam,52.3978052800146,4.924147226999714,200.00,Entire home/apt,10,9,10,10,9
48705328,9389404,Noord-Oost,Amsterdam,52.37514509550576,4.984980916653469,90.00,Private room,0,0,0,0,0
4013546,761411,Noord-Oost,Amsterdam,52.399415060290295,4.95310647349768,46.00,Private room,10,10,10,10,9
48059620,9474404,Noord-Oost,Amsterdam,52.39639711961589,4.953759806297187,30.00,Private room,8,8,10,8,8
8887625,8751830,Noord-Oost,Amsterdam,52.39901619556302,4.929945259732891,55.00,Private room,10,10,10,10,9
19429461,3785760,Noord-Oost,Amsterdam,52.39342253803045,4.956141658580853,70.00,Private room,0,0,0,0,0
10170774,3284802,Noord-Oost,Amsterdam,52.39839102983671,4.942455895981631,65.00,Private room,10,10,10,9,9
12328045,8583977,Noord-Oost,Amsterdam,52.398452413939715,4.942132585794243,57.00,Private room,0,0,0,0,0
6205606,9879725,Noord-Oost,Amsterdam,52.393130278058095,4.95764110869786,90.00,Entire home/apt,0,0,0,0,0
47392776,9955125,Noord-Oost,Amsterdam,52.40210063544739,4.927544552712884,100.00,Entire home/apt,0,0,0,0,0
43683749,8319109,Noord-Oost,Amsterdam,52.38988386717861,4.95613818864362,300.00,Entire home/apt,0,0,0,0,0
16626677,4697911,Noord-Oost,Amsterdam,52.3991272984682,4.953999697510392,100.00,Entire home/apt,8,8,10,10,9
9048074,1721904,Noord-Oost,Amsterdam,52.39802115970837,4.958331299144506,88.00,Entire home/apt,10,10,10,10,6
21634661,4169219,Noord-Oost,Amsterdam,52.39173447734964,4.952974450117651,80.00,Entire home/apt,9,9,9,9,8
12018031,2353432,Noord-Oost,Amsterdam,52.394770523573634,4.931712598174663,175.00,Entire home/apt,10,9,10,10,10
22090386,4256814,Noord-Oost,Amsterdam,52.3978151192865,4.937983051433496,135.00,Entire home/apt,10,9,9,10,7
2911119,595898,Noord-Oost,Amsterdam,52.378771617539606,4.9711364446232915,90.00,Entire home/apt,10,9,10,10,9
2802365,7241009,Noord-Oost,Amsterdam,52.40774817762915,4.933144005773879,180.00,Entire home/apt,10,10,10,10,8
3040748,5897261,Noord-Oost,Amsterdam,52.41121372991402,4.947321391956235,70.00,Entire home/apt,9,9,9,9,9
47252533,9555135,Noord-Oost,Amsterdam,52.37913047020824,4.975602069169514,109.00,Entire home/apt,0,0,0,0,0
9110671,3637400,Noord-Oost,Amsterdam,52.401569517314805,4.924764035747808,39.00,Private room,10,10,10,10,8
4214955,8979370,Noord-Oost,Amsterdam,52.40399721247511,4.9407895440165515,44.00,Private room,0,0,0,0,0
3289006,1168916,Noord-Oost,Amsterdam,52.38361888809258,4.977971999672187,120.00,Entire home/apt,9,9,10,10,9
16124101,3179826,Noord-Oost,Amsterdam,52.38678030419456,4.954008152635683,185.00,Entire home/apt,9,10,10,10,9
24350341,6850043,Noord-Oost,Amsterdam,52.38177509748901,4.965553700830293,99.00,Entire home/apt,10,10,10,10,10
14076195,7801735,Noord-Oost,Amsterdam,52.397099150925484,4.930526142112503,50.00,Private room,10,10,10,10,9
48059620,9473194,Noord-Oost,Amsterdam,52.39532805312189,4.955577151762239,32.00,Private room,0,0,0,0,0
4013546,3346620,Noord-Oost,Amsterdam,52.39951527518427,4.951645129825897,46.00,Private room,9,10,9,9,9
9830464,5216536,Noord-Oost,Amsterdam,52.39560914576572,4.934592034105179,112.00,Entire home/apt,10,9,10,10,9
7259166,1338633,Noord-Oost,Amsterdam,52.39446585299704,4.945133846763909,55.00,Private room,10,10,10,10,9
47541965,9150046,Noord-Oost,Amsterdam,52.395482357167786,4.958238922768522,39.00,Private room,0,0,0,0,0
19794594,7839527,Noord-Oost,Amsterdam,52.389901875402344,4.957005683747336,149.00,Entire home/apt,10,10,10,10,8
48059620,9248684,Noord-Oost,Amsterdam,52.39502739986984,4.953331532794909,39.00,Private room,9,8,9,10,8
6199288,6858428,Noord-Oost,Amsterdam,52.38174634447294,4.967196918557768,80.00,Entire home/apt,10,10,10,10,10
6347458,1158353,Noord-Oost,Amsterdam,52.400578944568196,4.950807533211527,45.00,Entire home/apt,9,8,9,9,9
9261270,5124214,Noord-Oost,Amsterdam,52.394149408480025,4.935288809645206,100.00,Entire home/apt,0,0,0,0,0
51235384,10073725,Noord-Oost,Amsterdam,52.392706234025844,4.960702694781313,40.00,Private room,8,10,10,9,7
14642357,2864823,Noord-Oost,Amsterdam,52.3960862800791,4.950179985088723,45.00,Private room,9,10,9,10,9
3040748,6611814,Noord-Oost,Amsterdam,52.41324444611566,4.946152859586055,68.00,Entire home/apt,9,9,10,10,9
27094477,10172405,Noord-Oost,Amsterdam,52.3783051318318,4.9921174782451345,150.00,Entire home/apt,0,0,0,0,0
5800745,3327727,Noord-Oost,Amsterdam,52.40708816719704,4.9332236523879995,100.00,Entire home/apt,10,10,10,10,9
23817576,8898515,Noord-Oost,Amsterdam,52.397838069785664,4.9319800318200375,49.00,Private room,9,10,10,10,7
51175862,9959224,Noord-Oost,Amsterdam,52.40407190905868,4.930830646338759,65.00,Private room,0,0,0,0,0
2225212,8162480,Noord-Oost,Amsterdam,52.400287653726664,4.93131141245925,169.00,Entire home/apt,9,7,9,9,5
50301103,9752272,Noord-Oost,Amsterdam,52.395551404520425,4.957826463263912,80.00,Entire home/apt,0,0,0,0,0
7371529,1358042,Noord-Oost,Amsterdam,52.38281122301121,4.966894741231812,60.00,Entire home/apt,10,10,10,10,9
36025288,9556918,Noord-Oost,Amsterdam,52.403939859923284,4.929715128959312,50.00,Private room,9,10,10,10,9
16176192,4773154,Noord-Oost,Amsterdam,52.395983173748135,4.930587750688956,71.00,Entire home/apt,10,10,10,9,9
3040748,613088,Noord-Oost,Amsterdam,52.40991541897414,4.962910611730041,78.00,Entire home/apt,9,10,10,10,9
45847074,8738902,Noord-Oost,Amsterdam,52.392560735926175,4.954434246178291,60.00,Private room,10,10,10,9,10
13381627,2613187,Noord-Oost,Amsterdam,52.39449780411922,4.945398676032854,68.00,Private room,9,9,10,10,9
7736832,3990045,Noord-Oost,Amsterdam,52.408424733473126,4.934696987880022,175.00,Entire home/apt,10,10,10,10,8
7583390,6776086,Noord-Oost,Amsterdam,52.39768980786093,4.938055656706682,59.00,Entire home/apt,9,10,9,9,9
51049888,9955409,Noord-Oost,Amsterdam,52.393359809822776,4.95507051999113,100.00,Private room,4,2,6,4,6
